Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
196.8,0.27995,1.463507883
197,0.27177,1.422496768
197.2,0.27591,1.445945173
197.4,0.24662,1.294037083
197.6,0,0
197.8,0.14637,0.769904579
198,0,0
198.2,0.1795,0.946484388
198.4,0.80222,4.235198251
198.6,0.59888,3.165561667
198.8,0.13995,0.740651718
199,0.36904,1.955438647
199.2,0.21457,1.138331712
199.4,0.077237,0.410254898
199.6,0.4617,2.455366139
199.8,0.81181,4.322532462
200,0.95633,5.098220291
200.2,0.59544,3.178156187
200.4,0.92285,4.931672311
200.6,0.37254,1.993247936
200.8,0.42418,2.272287982
201,0.24687,1.324054087
201.2,0.27523,1.477940192
201.4,0,0
201.6,0.19896,1.070958376
201.8,0.55739,3.003917795
202,0.24617,1.328267376
202.2,0.28146,1.52050563
